peak_reduction,"100.0"
window_start,"11:00"
window_end,"14:00"
maximum_load,"22325260684.66895"
mass_flow,"127.78930181734655"
maximum_date,"2006-07-18"
requested_num_tanks,"9.283624702540315"
actual_num_tanks,"10"
interval_start,"11"
interval_end,"14"
requested_capacity,"22325260684.66895"
actual_capacity,"24047999999.999996"
computed_trim_temperature,"10.868544371281072"
Date/Time,Baseline 90.1-2007 WATERCOOLED  CENTRIFUGAL CHILLER 0 374TONS 0.6KW/TON:Chiller Electricity Rate [W](Hourly),Baseline 90.1-2007 WATERCOOLED  CENTRIFUGAL CHILLER 0 374TONS 0.6KW/TON:Chiller Electricity Energy [J](Hourly),Baseline 90.1-2007 WATERCOOLED  CENTRIFUGAL CHILLER 0 374TONS 0.6KW/TON:Chiller Evaporator Cooling Energy [J](Hourly),Baseline 90.1-2007 WATERCOOLED  CENTRIFUGAL CHILLER 0 374TONS 0.6KW/TON:Chiller Evaporator Inlet Temperature [C](Hourly),Baseline 90.1-2007 WATERCOOLED  CENTRIFUGAL CHILLER 0 374TONS 0.6KW/TON:Chiller Evaporator Outlet Temperature [C](Hourly),Baseline 90.1-2007 WATERCOOLED  CENTRIFUGAL CHILLER 0 374TONS 0.6KW/TON:Chiller Evaporator Mass Flow Rate [kg/s](Hourly),Baseline 90.1-2007 WATERCOOLED  CENTRIFUGAL CHILLER 1 374TONS 0.6KW/TON:Chiller Electricity Rate [W](Hourly),Baseline 90.1-2007 WATERCOOLED  CENTRIFUGAL CHILLER 1 374TONS 0.6KW/TON:Chiller Electricity Energy [J](Hourly),Baseline 90.1-2007 WATERCOOLED  CENTRIFUGAL CHILLER 1 374TONS 0.6KW/TON:Chiller Evaporator Cooling Energy [J](Hourly),Baseline 90.1-2007 WATERCOOLED  CENTRIFUGAL CHILLER 1 374TONS 0.6KW/TON:Chiller Evaporator Inlet Temperature [C](Hourly),Baseline 90.1-2007 WATERCOOLED  CENTRIFUGAL CHILLER 1 374TONS 0.6KW/TON:Chiller Evaporator Outlet Temperature [C](Hourly),Baseline 90.1-2007 WATERCOOLED  CENTRIFUGAL CHILLER 1 374TONS 0.6KW/TON:Chiller Evaporator Mass Flow Rate [kg/s](Hourly),Baseline Electricity:Facility [J](TimeStep),Baseline NaturalGas:Facility [J](TimeStep),CHARGE SCH:Schedule Value [](TimeStep),CHILLER TEMP SCH:Schedule Value [](TimeStep),ICE TANK TEMP SCH:Schedule Value [](TimeStep),NUM TANKS:Schedule Value [](TimeStep),CHRG TEMP:Schedule Value [](TimeStep),TRIM TEMP:Schedule Value [](TimeStep),90.1-2007 WATERCOOLED  CENTRIFUGAL CHILLER 0 374TONS 0.6KW/TON:Chiller Electricity Rate [W](Hourly),90.1-2007 WATERCOOLED  CENTRIFUGAL CHILLER 0 374TONS 0.6KW/TON:Chiller Electricity Rate [W](TimeStep),90.1-2007 WATERCOOLED  CENTRIFUGAL CHILLER 0 374TONS 0.6KW/TON:Chiller Electricity Energy [J](Hourly),90.1-2007 WATERCOOLED  CENTRIFUGAL CHILLER 0 374TONS 0.6KW/TON:Chiller Evaporator Cooling Energy [J](Hourly),90.1-2007 WATERCOOLED  CENTRIFUGAL CHILLER 0 374TONS 0.6KW/TON:Chiller Evaporator Inlet Temperature [C](Hourly),90.1-2007 WATERCOOLED  CENTRIFUGAL CHILLER 0 374TONS 0.6KW/TON:Chiller Evaporator Outlet Temperature [C](Hourly),90.1-2007 WATERCOOLED  CENTRIFUGAL CHILLER 0 374TONS 0.6KW/TON:Chiller Evaporator Mass Flow Rate [kg/s](Hourly),90.1-2007 WATERCOOLED  CENTRIFUGAL CHILLER 1 374TONS 0.6KW/TON:Chiller Electricity Rate [W](Hourly),90.1-2007 WATERCOOLED  CENTRIFUGAL CHILLER 1 374TONS 0.6KW/TON:Chiller Electricity Rate [W](TimeStep),90.1-2007 WATERCOOLED  CENTRIFUGAL CHILLER 1 374TONS 0.6KW/TON:Chiller Electricity Energy [J](Hourly),90.1-2007 WATERCOOLED  CENTRIFUGAL CHILLER 1 374TONS 0.6KW/TON:Chiller Evaporator Cooling Energy [J](Hourly),90.1-2007 WATERCOOLED  CENTRIFUGAL CHILLER 1 374TONS 0.6KW/TON:Chiller Evaporator Inlet Temperature [C](Hourly),90.1-2007 WATERCOOLED  CENTRIFUGAL CHILLER 1 374TONS 0.6KW/TON:Chiller Evaporator Outlet Temperature [C](Hourly),90.1-2007 WATERCOOLED  CENTRIFUGAL CHILLER 1 374TONS 0.6KW/TON:Chiller Evaporator Mass Flow Rate [kg/s](Hourly),mdot_branch:PythonPlugin:OutputVariable [](TimeStep),mdot_tank:PythonPlugin:OutputVariable [](TimeStep),soc:PythonPlugin:OutputVariable [](TimeStep),t_branch_in:PythonPlugin:OutputVariable [](TimeStep),t_branch_out:PythonPlugin:OutputVariable [](TimeStep),t_tank_out:PythonPlugin:OutputVariable [](TimeStep),Electricity:Facility [J](TimeStep),NaturalGas:Facility [J](TimeStep)
 2006-04-01T00:00:00,14879.895931159102,53567625.35217276,165538551.74355856,8.312190897588106,8.14065797206465,48.68163878756061,0.0,0.0,0.0,8.312190897588106,8.312190897588106,0.0,543205625.6396248,5025948.539621178,1.0,-3.8,6.7,10.0,-3.8,10.8685443712811,0.0,0.0,0.0,0.0,1.035266293848782,1.035266293848782,0.0,143346.2485365964,199115.8548662352,516046494.73174685,3687442550.5802,1.035266293848782,-2.7736678160678063,63.89465090867328,63.89465090867327,0.0,0.4999139561502274,6.7,6.7,6.7,672506336.8591808,5025948.539621178
 2006-04-01T01:00:00,12764.372625142569,45951741.45051324,142153006.86962008,8.926337532882217,8.779037080639847,42.59643393911552,0.0,0.0,0.0,8.926337532882217,8.926337532882217,0.0,558316164.1201282,5025948.539621178,1.0,-3.8,6.7,10.0,-3.8,10.8685443712811,0.0,0.0,0.0,0.0,-1.3232625604984047,-1.3232625604984047,0.0,103333.15713445123,105731.30070974174,371999365.68402433,2402429061.0059342,-1.3232625604984047,-3.8000000000000007,63.8946509086733,63.89465090867328,63.89465090867328,0.5776102356558299,-3.8,-1.4466678149157144,-1.4466678149157146,613081137.710587,5025948.539621178
 2006-04-01T02:00:00,15930.816703395642,57350940.1322243,177349567.09477487,7.85086702159233,7.667095533131344,53.24554242389441,0.0,0.0,0.0,7.85086702159233,7.85086702159233,0.0,558291176.9355038,5025948.539621178,1.0,-3.8,6.7,10.0,-3.8,10.8685443712811,0.0,0.0,0.0,0.0,-1.4262625725164904,-1.4262625725164904,0.0,100670.52223309025,102610.22219824928,362413880.0391247,2302519309.4878225,-1.4262625725164904,-3.800000000000002,63.8946509086733,63.89465090867327,63.89465090867327,0.6739720950166148,-3.8,-1.5463020166064076,-1.5463020166064076,611125367.2057106,5025948.539621178
 2006-04-01T03:00:00,12680.462260579625,45649664.13808665,141104866.06131333,8.923801094339666,8.7775867762503,42.59643393911552,0.0,0.0,0.0,8.923801094339666,8.923801094339666,0.0,565422149.0032052,5025948.539621178,1.0,-3.8,6.7,10.0,-3.8,10.8685443712811,0.0,0.0,0.0,0.0,-1.6729774841233844,-1.6729774841233844,0.0,94444.34214727768,98701.9668485648,339999631.7301995,2063206468.338545,-1.6729774841233844,-3.8000000000000007,63.8946509086733,63.89465090867328,63.89465090867328,0.7648881710614316,-3.8,-1.728509223990375,-1.728509223990375,616039429.0986589,5025948.539621178
 2006-04-01T04:00:00,0.0,0.0,0.0,13.218390388550246,13.218390388550246,0.0,0.0,0.0,0.0,13.218390388550246,13.218390388550246,0.0,530342794.9334558,5025948.539621177,1.0,-3.8,6.7,10.0,-3.8,10.8685443712811,0.0,0.0,0.0,0.0,-2.159814469616719,-2.159814469616719,0.0,82855.34362483193,86770.18589505673,298279237.049395,1590975821.977793,-2.159814469616719,-3.8,63.89465090867327,63.89465090867327,63.89465090867327,0.8461542738137882,-3.799999999999999,-2.032556979405296,-2.032556979405296,609676838.7319857,5025948.539621177
 2006-04-01T05:00:00,98724.00291739778,355406410.5026321,2157400487.4497814,7.78480333972189,5.548529993611491,63.89465090867327,0.0,0.0,0.0,7.78480333972189,7.78480333972189,0.0,714379416.5571622,19527178.162492804,1.0,-3.8,6.7,10.0,-3.8,10.8685443712811,0.0,0.0,0.0,0.0,-0.3550012068675301,-0.3550012068675301,0.0,129985.87935579802,126359.80110952504,467949165.6808729,3341640128.56256,-0.3550012068675301,-3.8,63.89465090867327,63.89465090867328,60.0947904523377,0.912045474738857,-3.8,-2.4713506539622045,-2.3873386776770165,727387897.8567774,19527189.9197052
 2006-04-01T06:00:00,83187.14544789701,299473723.61242926,1403494221.613141,7.39397418613822,5.93935914719516,63.89465090867328,0.0,0.0,0.0,7.39397418613822,7.39397418613822,0.0,789721169.2031657,137169921.6086993,1.0,-3.8,6.7,10.0,-3.8,10.8685443712811,0.0,0.0,0.0,0.0,-1.581353933585433,-1.581353933585433,0.0,96774.06791265291,106319.0946601515,348386644.4855506,2152081080.953605,-1.581353933585433,-3.8,63.89465090867328,63.89465090867328,63.89465090867328,0.9592891077067216,-3.8,-2.9175292031921525,-2.917529203192153,803302292.5092831,137249314.37769374
 2006-04-01T07:00:00,83355.41119378134,300079480.2976128,1491647413.2158384,7.439668211109719,5.89366512222366,63.89465090867328,0.0,0.0,0.0,7.439668211109719,7.439668211109719,0.0,834320243.6992261,68991579.24489221,1.0,-3.8,6.7,10.0,-3.8,10.8685443712811,0.0,0.0,0.0,0.0,-1.805753637451385,-1.805753637451385,0.0,91141.49726983938,91641.05860344163,328109390.17142177,1934413934.9531896,-1.805753637451385,-3.8,63.89465090867328,63.89465090867328,14.328613102417314,0.9830571861794448,-3.8,-3.3580242193700385,-1.829126195844068,838070164.9405918,68991721.29041314
 2006-04-01T08:00:00,88117.13898711826,317221700.3536258,1734931349.7539306,7.565781415301341,5.767551918032037,63.89465090867328,0.0,0.0,0.0,7.565781415301341,7.565781415301341,0.0,814000645.5714914,33773769.69187112,1.0,-3.8,6.7,10.0,-3.8,10.8685443712811,0.0,0.0,0.0,0.0,-1.0245594837880867,-1.0245594837880867,0.0,46282.53085020536,91515.98988459929,166617111.0607393,995242554.7654564,-1.0245594837880867,-2.0505854076256496,63.89465090867328,63.89465090867328,12.093996803503636,0.9980155939985006,-3.8,-3.513918965382653,-2.2885850281379283,815734942.6311889,33773844.27721812
 2006-04-01T09:00:00,100482.62597634707,361737453.5148495,2223872547.6939683,7.819269255659207,5.514064077674175,63.89465090867328,0.0,0.0,0.0,7.819269255659207,7.819269255659207,0.0,795310646.9282154,24162407.64875209,0.0,6.7,6.7,10.0,-3.8,10.8685443712811,0.0,0.0,0.0,0.0,7.090265021117887,7.090265021117887,0.0,54995.88996772916,0.0,197985203.8838249,1265162296.1779575,7.090265021117887,5.778180704817623,63.89465090867328,63.89465090867328,0.0,1.0,1.2792565932869169,1.2792565932869169,1.2792565932869169,713150511.8364418,24162430.85533817
