Date/Time,CHARGE SCH:Schedule Value [](TimeStep),CHILLER TEMP SCH:Schedule Value [](TimeStep),ICE TANK TEMP SCH:Schedule Value [](TimeStep),NUM TANKS:Schedule Value [](TimeStep),CHRG TEMP:Schedule Value [](TimeStep),TRIM TEMP:Schedule Value [](TimeStep),90.1-2007 WATERCOOLED  CENTRIFUGAL CHILLER 0 374TONS 0.6KW/TON:Chiller Electricity Rate [W](TimeStep),90.1-2007 WATERCOOLED  CENTRIFUGAL CHILLER 1 374TONS 0.6KW/TON:Chiller Electricity Rate [W](TimeStep),mdot_branch:PythonPlugin:OutputVariable [](TimeStep),mdot_tank:PythonPlugin:OutputVariable [](TimeStep),soc:PythonPlugin:OutputVariable [](TimeStep),t_branch_in:PythonPlugin:OutputVariable [](TimeStep),t_branch_out:PythonPlugin:OutputVariable [](TimeStep),t_tank_out:PythonPlugin:OutputVariable [](TimeStep),Electricity:Facility [J](TimeStep),NaturalGas:Facility [J](TimeStep)
 01/01  00:10:00,1.0,-3.8,6.7,1.0,-3.8,10.0,0.0,33854.24161450246,63.89465090867328,63.89465090867328,0.5251750186217382,-3.8,-3.441491152273116,-3.441491152273116,291609739.5923793,5025948.539621178
 01/01  00:20:00,1.0,-3.8,6.7,1.0,-3.8,10.0,0.0,36345.93511103381,63.89465090867328,63.89465090867328,0.5500769236687849,-3.8,-3.445458341438885,-3.445458341438885,294881306.7428847,27107342.914200943
 01/01  00:30:00,1.0,-3.8,6.7,1.0,-3.8,10.0,0.0,36537.29843027307,63.89465090867328,63.89465090867328,0.574702316934416,-3.8,-3.449659762203794,-3.449659762203794,294978845.3429286,16628176.495621897
 01/01  00:40:00,1.0,-3.8,6.7,1.0,-3.8,10.0,0.0,36343.391970555276,63.89465090867328,63.89465090867328,0.5990348725531291,-3.8,-3.4542665178297476,-3.4542665178297476,294908540.56088257,23823981.4883399
 01/01  00:50:00,1.0,-3.8,6.7,1.0,-3.8,10.0,0.0,32980.91462884344,63.89465090867333,63.89465090867333,0.6230463388182848,-3.8000000000000025,-3.4594338534531914,-3.4594338534531914,291169029.82840586,5025948.539621178
 01/01  01:00:00,1.0,-3.8,6.7,1.0,-3.8,10.0,0.0,34747.995329936595,63.89465090867333,63.89465090867333,0.6466976434882381,-3.8000000000000025,-3.465298669002145,-3.465298669002145,294114040.71693647,46787640.18501462
 01/01  01:10:00,1.0,-3.8,6.7,1.0,-3.8,10.0,0.0,34792.65220658556,63.89465090867328,63.89465090867328,0.6699401724413412,-3.8,-3.471976323659209,-3.471976323659209,293994364.9954385,17213628.4010537
 01/01  01:20:00,1.0,-3.8,6.7,1.0,-3.8,10.0,0.0,34274.32023194024,63.89465090867328,63.89465090867328,0.6927172710588216,-3.8,-3.4795570713836876,-3.4795570713836876,293713926.69322515,26085574.648776714
 01/01  01:30:00,1.0,-3.8,6.7,1.0,-3.8,10.0,0.0,30514.72739781149,63.89465090867325,63.89465090867325,0.7149659940505957,-3.7999999999999985,-3.488102514462736,-3.488102514462736,289703921.0631659,5025948.539621178
 01/01  01:40:00,1.0,-3.8,6.7,1.0,-3.8,10.0,0.0,31922.309236820784,63.8946509086733,63.8946509086733,0.7366191024674054,-3.800000000000001,-3.49764249671147,-3.49764249671147,292429587.30861855,49117749.39585261
